Date,cci_30,relative_strength_index_14,sma_12,sma_26,stochastic_oscillator
2013-07-16,154.07608019999998,66.28934058,451.88271579999997,445.9906053,85.39084192
2013-07-17,139.6350206,65.42104846,453.47514079999996,446.5359591,82.43819069
2013-07-18,89.78916486,59.21885343,454.4260915,447.1302079,67.81268238
2013-07-19,-2.324751086,50.07262394,455.0221049,447.60414360000004,40.064849
2013-07-22,63.30631468,57.20136947,456.03436789999995,448.2528698,66.97842305
2013-07-23,53.14442196,53.198352,456.4643808999999,448.80650099999997,53.80794228
2013-07-24,45.86593065,52.68051015,456.37304180000007,449.1270142,52.09010091
2013-07-25,-23.19409107,44.75636852,455.64147699999995,448.878303,23.07682304
2013-07-26,-47.2295062,43.66285932,454.7806142,448.58319919999997,18.59122737
2013-07-29,-48.37580182,42.20733239,453.19694780000003,448.5356516,12.71227176
2013-07-30,-33.92910056,47.50051509,451.8589427,448.7279593,29.22311554
2013-07-31,-27.49156281,45.84339745,450.3182348,449.0736893999999,23.17225719
2013-08-01,27.90712337,54.68805943,449.67634330000004,449.8055749,54.609602100000004
2013-08-02,42.56043714,55.79732948,449.1766765,450.4392853,59.12905672
2013-08-05,31.90934784,54.83155181,448.93977110000003,450.9769381,57.34628626
2013-08-06,14.79225248,49.84301374,448.9385198,451.2887878,47.217837100000004
2013-08-07,-33.97906166,46.63433038,448.10226689999996,451.3421103,40.22465022
2013-08-08,-48.19238624,47.86157394,447.63763430000006,451.54134780000004,36.69453274
2013-08-09,-48.34978852,46.57050107,447.1166966,451.61796330000004,29.69190201
2013-08-12,-97.23725141,43.79946974,447.02535750000004,451.4643484,15.7662821
2013-08-13,-111.05591640000002,41.48817784,446.85435480000007,451.0054286,15.07013665
2013-08-14,-162.9235335,35.99494762,446.33466839999994,450.32340070000004,6.227956552999999
2013-08-15,-211.7559394,31.95260412,445.0308634,449.4315467,3.210136757
2013-08-16,-198.1333526,30.93881915,443.74457810000007,448.21244349999995,0.695865634
2013-08-19,-148.7097631,37.70380724,442.13588719999996,447.10845480000006,17.1337668
2013-08-20,-127.79252179999999,37.59943087,440.41958880000004,445.967507,16.70120361
2013-08-21,-102.61450699999999,40.60949399,438.9318518,444.99961619999993,24.05491319
2013-08-22,-89.04008493,43.87556898,437.97839869999996,444.1364453,32.29266948
2013-08-23,-85.19749333,41.89298224,437.12587740000004,443.3573961,25.70993938
2013-08-26,-95.36934722,39.78023097,436.0301998,442.77585310000006,23.50274597
2013-08-27,-155.2764333,32.31807093,434.3510183,441.6102635,4.693373795
2013-08-28,-156.58817480000002,31.68741694,432.80947630000003,440.5467001,1.633592306
2013-08-29,-125.2997085,37.34900808,431.73256680000003,439.6329017,18.80689548
2013-08-30,-131.78865090000002,33.62781216,430.7770284,438.84750130000003,3.120556816
2013-09-03,-82.69512682,43.25034894,430.8070577,438.3668283,42.74578767
2013-09-04,-50.29877958,49.79251058,431.4210052,438.1620084,80.36366311
2013-09-05,-0.9962259840000001,53.83265247,432.0011673,437.9433277,99.06762203
2013-09-06,10.52361616,53.84274058,432.59175619999996,437.78605530000004,89.01093668
2013-09-09,47.50697313,58.0258311,433.3725382,437.4747831,96.15306187
2013-09-10,54.01088766,58.32356529999999,433.9964955,437.1302079,92.82949333
2013-09-11,75.92710219,61.85763658,435.0800807,436.9606159,98.48282473
