Date,cci_30,relative_strength_index_14,sma_12,sma_26,stochastic_oscillator
2016-06-15,-108.42055479999999,36.04239081,48.97199242,48.70100423,15.98980101
2016-06-16,-88.12904427,42.71341228,48.76555308,48.69094212,33.75630298
2016-06-17,-89.14551716,41.00276839,48.55041375,48.67030154,27.1573673
2016-06-20,-75.02269869,40.59863467,48.359792999999996,48.63079435,25.96398458
2016-06-21,-26.12817426,50.42108422,48.31233533,48.64776185,57.88036471
2016-06-22,-8.714490821,48.86714999,48.22216608,48.63023904,52.58859744
2016-06-23,40.64500854,55.63984334,48.20713842,48.68134704,77.65666966
2016-06-24,-94.5747981,42.07192882,48.03233783,48.64557146,20.9809594
2016-06-27,-197.4434956,35.7523859,47.780023,48.57657577,8.863617665
2016-06-28,-133.7557521,42.46652053,47.61866833,48.53349919,34.8258209
2016-06-29,-47.98349584,48.74848065,47.65030675,48.55211712,62.18905473
2016-06-30,-3.5621708169999997,51.98224208,47.75629433,48.53678454,77.86062189
2016-07-01,17.96996291,51.92626267,47.87256508,48.50173923,77.61191542
2016-07-05,-1.5739668130000002,51.98195078,47.93425983,48.47545523,77.86062189
2016-07-06,-1.0015433470000001,53.208373800000004,48.03312908,48.44114012,83.08457711
2016-07-07,17.99202251,53.208373800000004,48.1367445,48.38200127,83.08457711
2016-07-08,72.47893224,58.58290638,48.22454042,48.36192308,98.61106481
2016-07-11,109.6646737,60.13725987,48.35109358,48.36593862,94.98952088
2016-07-12,139.054299,63.30764756,48.45391808,48.41777669,96.45516857
2016-07-13,159.7442681,64.76776872,48.74498908,48.46815419,93.98620275
2016-07-14,168.9259487,65.88853284,49.16498658,48.528023499999996,95.79832003
2016-07-15,150.61433,65.49836121,49.501934000000006,48.58862304,94.96645889
2016-07-18,156.1026842,66.87177116,49.77244058,48.67404631,93.29804469
2016-07-19,110.9148392,58.48248406,49.924304,48.73282054,72.46696642
2016-07-20,235.2744796,71.12673132,50.30000717,48.943458,85.58139758
